model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     max_rootfinding_iterations = 100
model   INFO     active_ratio = 0.4444444444444444
model   INFO     species_definitions =
model   INFO             CO2_g: {'pressure': 0.01}
model   INFO             CO_g: {'pressure': 1.0000000000000001e-05}
model   INFO             O2_g: {'pressure': 0.4}
model   INFO             *_s: {'site_name': 'top', 'type': 'site', 'total': 1.0}
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rate_algo = CT
model   INFO     temperature = 500
model   INFO     rootfinding = MDNewton
model   INFO     tolerance = 1e-15
model   INFO     unitcell_area = 9e-20
model   INFO     corrector = ThermodynamicCorrector
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.00

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO     ----------------------------------------------------------------------
model.solvers.SteadyStateSolver   INFO           0.20%            0.019918      5.01105852e-11      9.99932190e-01
model.solvers.SteadyStateSolver   INFO           0.40%            0.039918      5.01201145e-11      9.99932177e-01
model.solvers.SteadyStateSolver   INFO           0.60%            0.059918      5.01218653e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO           0.80%            0.079918      5.01218162e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO           1.00%            0.099918      5.01217944e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO           1.20%            0.119918      5.01217933e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO           1.40%            0.139918      5.01217921e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO           1.60%            0.159918      5.01217910e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO           1.80%            0.179918      5.01217899e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO           2.00%            0.199918      5.01217887e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO           2.20%            0.219918      5.01217876e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO           2.40%            0.239918      5.01217865e-11      9.99932175e-01
