model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     tolerance = 1e-30
model   INFO     plotter = EnergyProfilePlotter
model   INFO     corrector = ThermodynamicCorrector
model   INFO     unitcell_area = 9e-20
model   INFO     species_definitions =
model   INFO             O2_g: {'pressure': 0.20000000000000001}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 0.1}
model   INFO             CO2_g: {'pressure': 0.01}
model   INFO     rate_algo = CT
model   INFO     rootfinding = MDNewton
model   INFO     max_rootfinding_iterations = 100
model   INFO     temperature = 500
model   INFO     active_ratio = 0.4444444444444444
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.00

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO     ----------------------------------------------------------------------
model.solvers.SteadyStateSolver   INFO           0.20%            0.019801      1.00000000e+00      1.79714294e-26
model.solvers.SteadyStateSolver   INFO           0.40%            0.039801      1.00000000e+00      1.59242422e-26
model.solvers.SteadyStateSolver   INFO           0.60%            0.059801      1.00000000e+00      1.38770551e-26
model.solvers.SteadyStateSolver   INFO           0.80%            0.079801      1.00000000e+00      1.18298679e-26
model.solvers.SteadyStateSolver   INFO           1.00%            0.099801      1.00000000e+00      9.78268075e-27
model.solvers.SteadyStateSolver   INFO           1.20%            0.119801      1.00000000e+00      8.98335308e-27
model.solvers.SteadyStateSolver   INFO           1.40%            0.139801      1.00000000e+00      8.98335376e-27
model.solvers.SteadyStateSolver   INFO           1.60%            0.159801      1.00000000e+00      8.98335445e-27
model.solvers.SteadyStateSolver   INFO           1.80%            0.179801      1.00000000e+00      8.98335513e-27
model.solvers.SteadyStateSolver   INFO           2.00%            0.199801      1.00000000e+00      9.02581863e-27
model.solvers.SteadyStateSolver   INFO           2.20%            0.219801      1.00000000e+00      9.23053735e-27
model.solvers.SteadyStateSolver   INFO           2.40%            0.239801      1.00000000e+00      9.43525607e-27
model.solvers.SteadyStateSolver   INFO           2.60%            0.259801      1.00000000e+00      9.63997479e-27
model.solvers.SteadyStateSolver   INFO           2.80%            0.279801      1.00000000e+00      9.84469351e-27
