model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rate_algo = CT
model   INFO     active_ratio = 0.444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rootfinding = MDNewton
model   INFO     species_definitions =
model   INFO             *_t: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 0.1}
model   INFO             O2_g: {'pressure': 9.9999999999999995e-08}
model   INFO             CO2_g: {'pressure': 1.32e-07}
model   INFO     max_rootfinding_iterations = 100
model   INFO     rxn_expressions =
model   INFO             CO_g + *_t -> CO_t
model   INFO             O2_g + 2*_t -> 2O_t
model   INFO             CO_t + O_t <-> CO-O_2t -> CO2_g + 2*_t
model   INFO     corrector = ThermodynamicCorrector
model   INFO     tolerance = 1e-50
model   INFO     unitcell_area = 9e-20
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.000100

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_t                 O_t
model.solvers.SteadyStateSolver   INFO     ----------------------------------------------------------------------
model.solvers.SteadyStateSolver   INFO           0.20%            0.020000      1.00000000e+00      1.36103886e-32
model.solvers.SteadyStateSolver   INFO           0.40%            0.040000      1.00000000e+00      2.87387660e-32
model.solvers.SteadyStateSolver   INFO           0.60%            0.060000      1.00000000e+00      1.91883941e-32
model.solvers.SteadyStateSolver   INFO           0.80%            0.080000      1.00000000e+00      4.52049057e-33
model.solvers.SteadyStateSolver   INFO           1.00%            0.100000      1.00000000e+00      5.52905171e-33
model.solvers.SteadyStateSolver   INFO           1.20%            0.120000      1.00000000e+00      6.53761285e-33
model.solvers.SteadyStateSolver   INFO           1.40%            0.140000      1.00000000e+00      7.54617399e-33
model.solvers.SteadyStateSolver   INFO           1.60%            0.160000      1.00000000e+00      8.55473513e-33
model.solvers.SteadyStateSolver   INFO           1.80%            0.180000      1.00000000e+00      9.56329628e-33
model.solvers.SteadyStateSolver   INFO           2.00%            0.200000      1.00000000e+00      1.05718574e-32
model.solvers.SteadyStateSolver   INFO           2.20%            0.220000      1.00000000e+00      1.15804186e-32
model.solvers.SteadyStateSolver   INFO           2.40%            0.240000      1.00000000e+00      1.25889797e-32
model.solvers.SteadyStateSolver   INFO           2.60%            0.260000      1.00000000e+00      1.35975408e-32
model.solvers.SteadyStateSolver   INFO           2.80%            0.280000      1.00000000e+00      1.46061020e-32
model.solvers.SteadyStateSolver   INFO           3.00%            0.300000      1.00000000e+00      1.56146631e-32
model.solvers.SteadyStateSolver   INFO           3.20%            0.320000      1.00000000e+00      1.66232243e-32
