model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rate_algo = TST
model   INFO     active_ratio = 0.444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rootfinding = MDNewton
model   INFO     species_definitions =
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 1.0000000000000001e-05}
model   INFO             O2_g: {'pressure': 5.0}
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO     max_rootfinding_iterations = 100
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     corrector = ThermodynamicCorrector
model   INFO     tolerance = 1e-15
model   INFO     unitcell_area = 9e-20
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.000100

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO     ----------------------------------------------------------------------
model.solvers.SteadyStateSolver   INFO           0.20%            0.020000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           0.40%            0.040000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           0.60%            0.060000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           0.80%            0.080000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           1.00%            0.100000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           1.20%            0.120000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           1.40%            0.140000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           1.60%            0.160000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           1.80%            0.180000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           2.00%            0.200000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           2.20%            0.220000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           2.40%            0.240000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           2.60%            0.260000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           2.80%            0.280000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           3.00%            0.300000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           3.20%            0.320000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           3.40%            0.340000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO           3.60%            0.360000      9.96531055e-01      2.94061448e-06
