model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     tolerance = 1e-50
model   INFO     rootfinding = MDNewton
model   INFO     max_rootfinding_iterations = 100
model   INFO     rate_algo = TST
model   INFO     species_definitions =
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             O2_g: {'pressure': 5}
model   INFO     corrector = ThermodynamicCorrector
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s <-> O-O_2s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     unitcell_area = 9e-20
model   INFO     active_ratio = 0.4444444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 0.00  step = 0.000000

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO     ----------------------------------------------------------------------
model.solvers.SteadyStateSolver   INFO           0.04%            0.000000      1.95016967e-02      2.69842661e-03
model.solvers.SteadyStateSolver   INFO           0.08%            0.000000      3.85685602e-02      5.27736680e-03
model.solvers.SteadyStateSolver   INFO           0.12%            0.000001      5.72103563e-02      7.74127262e-03
model.solvers.SteadyStateSolver   INFO           0.16%            0.000001      7.54366805e-02      1.00944383e-02
model.solvers.SteadyStateSolver   INFO           0.20%            0.000001      9.32569569e-02      1.23410052e-02
model.solvers.SteadyStateSolver   INFO           0.24%            0.000001      1.10680437e-01      1.44849669e-02
model.solvers.SteadyStateSolver   INFO           0.28%            0.000001      1.27716198e-01      1.65301744e-02
model.solvers.SteadyStateSolver   INFO           0.32%            0.000002      1.44373144e-01      1.84803400e-02
model.solvers.SteadyStateSolver   INFO           0.36%            0.000002      1.60660007e-01      2.03390425e-02
model.solvers.SteadyStateSolver   INFO           0.40%            0.000002      1.76585345e-01      2.21097315e-02
model.solvers.SteadyStateSolver   INFO           0.44%            0.000002      1.92157547e-01      2.37957320e-02
model.solvers.SteadyStateSolver   INFO           0.48%            0.000002      2.07384826e-01      2.54002487e-02
model.solvers.SteadyStateSolver   INFO           0.52%            0.000003      2.22275227e-01      2.69263695e-02
model.solvers.SteadyStateSolver   INFO           0.56%            0.000003      2.36836627e-01      2.83770703e-02
model.solvers.SteadyStateSolver   INFO           0.60%            0.000003      2.51076737e-01      2.97552184e-02
model.solvers.SteadyStateSolver   INFO           0.64%            0.000003      2.65003099e-01      3.10635768e-02
model.solvers.SteadyStateSolver   INFO           0.68%            0.000003      2.78623092e-01      3.23048073e-02
model.solvers.SteadyStateSolver   INFO           0.72%            0.000004      2.91943937e-01      3.34814746e-02
model.solvers.SteadyStateSolver   INFO           0.76%            0.000004      3.04972690e-01      3.45960493e-02
model.solvers.SteadyStateSolver   INFO           0.80%            0.000004      3.17716253e-01      3.56509117e-02
model.solvers.SteadyStateSolver   INFO           0.84%            0.000004      3.30181372e-01      3.66483545e-02
