model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     unitcell_area = 9e-20
model   INFO     tolerance = 1e-50
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s <-> O-O_2s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     temperature = 500
model   INFO     corrector = ThermodynamicCorrector
model   INFO     plotter = EnergyProfilePlotter
model   INFO     max_rootfinding_iterations = 100
model   INFO     rate_algo = TST
model   INFO     species_definitions =
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO             O2_g: {'pressure': 5}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO     rootfinding = MDNewton
model   INFO     active_ratio = 0.4444444444444444
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 0.00  step = 0.000000

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO     ----------------------------------------------------------------------
model.solvers.SteadyStateSolver   INFO           0.20%            0.000001      9.32569569e-02      1.23410052e-02
model.solvers.SteadyStateSolver   INFO           0.40%            0.000002      1.76585345e-01      2.21097315e-02
model.solvers.SteadyStateSolver   INFO           0.60%            0.000003      2.51076737e-01      2.97552184e-02
model.solvers.SteadyStateSolver   INFO           0.80%            0.000004      3.17716253e-01      3.56509117e-02
model.solvers.SteadyStateSolver   INFO           1.00%            0.000005      3.77387027e-01      4.01069050e-02
model.solvers.SteadyStateSolver   INFO           1.20%            0.000006      4.30876809e-01      4.33804323e-02
model.solvers.SteadyStateSolver   INFO           1.40%            0.000007      4.78885603e-01      4.56847691e-02
model.solvers.SteadyStateSolver   INFO           1.60%            0.000008      5.22033812e-01      4.71966803e-02
model.solvers.SteadyStateSolver   INFO           1.80%            0.000009      5.60870084e-01      4.80626846e-02
model.solvers.SteadyStateSolver   INFO           2.00%            0.000010      5.95878968e-01      4.84042397e-02
model.solvers.SteadyStateSolver   INFO           2.20%            0.000011      6.27488024e-01      4.83220405e-02
model.solvers.SteadyStateSolver   INFO           2.40%            0.000012      6.56074322e-01      4.78995788e-02
model.solvers.SteadyStateSolver   INFO           2.60%            0.000013      6.81970335e-01      4.72060837e-02
model.solvers.SteadyStateSolver   INFO           2.80%            0.000014      7.05469231e-01      4.62989569e-02
model.solvers.SteadyStateSolver   INFO           3.00%            0.000015      7.26829595e-01      4.52257725e-02
model.solvers.SteadyStateSolver   INFO           3.20%            0.000016      7.46279600e-01      4.40259355e-02
model.solvers.SteadyStateSolver   INFO           3.40%            0.000017      7.64020702e-01      4.27320474e-02
model.solvers.SteadyStateSolver   INFO           3.60%            0.000018      7.80230908e-01      4.13710652e-02
model.solvers.SteadyStateSolver   INFO           3.80%            0.000019      7.95067616e-01      3.99652133e-02
model.solvers.SteadyStateSolver   INFO           4.00%            0.000020      8.08670132e-01      3.85327798e-02
